NZ_AP013028.1	1	1382	+	chromosomal replication initiator protein DnaA	WP_041044912.1	202	FF8AD8	DnaA
NZ_AP013028.1	2029	3282	-	phosphoesterase	WP_041044914.1	-1	f3f3f3	-1
NZ_AP013028.1	3957	5039	+	GTP cyclohydrolase II RibA	WP_041046499.1	72	f3f3f3	-1
NZ_AP013028.1	5111	5783	+	type IV secretion system protein	WP_041044916.1	670	f3f3f3	-1
NZ_AP013028.1	5784	6584	+	P-type conjugative transfer protein VirB9	WP_041044918.1	753	f3f3f3	-1
NZ_AP013028.1	6601	8088	+	TrbI/VirB10 family protein	WP_041044920.1	1024	f3f3f3	-1
NZ_AP013028.1	8090	9082	+	P-type DNA transfer ATPase VirB11	WP_041044922.1	115	f3f3f3	-1
NZ_AP013028.1	9111	11249	+	TraM recognition domain-containing protein	WP_041044924.1	757	f3f3f3	-1
NZ_AP013028.1	12852	13112	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	13722	16202	-	response regulator	WP_041044930.1	49	f3f3f3	-1
NZ_AP013028.1	16317	17141	+	oxygen-dependent coproporphyrinogen oxidase	WP_041044932.1	595	f3f3f3	-1
NZ_AP013028.1	17720	18502	+	hypothetical protein	WP_084221162.1	945	f3f3f3	-1
NZ_AP013028.1	18508	21108	-	aconitate hydratase AcnA	WP_041044934.1	501	f3f3f3	-1
NZ_AP013028.1	21896	23203	+	DnaJ domain-containing protein	WP_070104823.1	2	f3f3f3	-1
NZ_AP013028.1	23814	25862	+	ATP-dependent DNA helicase RecG	WP_041044937.1	69	f3f3f3	-1
NZ_AP013028.1	26675	26935	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	28125	28614	-	hypothetical protein	WP_041046503.1	-1	f3f3f3	-1
NZ_AP013028.1	28615	29508	-	RNA polymerase sigma factor RpoH	WP_041044940.1	347	f3f3f3	-1
NZ_AP013028.1	29780	30475	-	P44/Msp2 family outer membrane protein	WP_041044942.1	435	f3f3f3	-1
NZ_AP013028.1	30810	31142	-	YbaB/EbfC family nucleoid-associated protein	WP_041044944.1	354	f3f3f3	-1
NZ_AP013028.1	31146	32630	-	DNA polymerase III subunit gamma/tau	WP_041044946.1	103	f3f3f3	-1
NZ_AP013028.1	32834	33487	+	glutathione S-transferase family protein	WP_041044948.1	1571	f3f3f3	-1
NZ_AP013028.1	33489	34139	-	O-methyltransferase	WP_041044950.1	1001	f3f3f3	-1
NZ_AP013028.1	34372	34650	+	hypothetical protein	WP_041044952.1	986	f3f3f3	-1
NZ_AP013028.1	34679	35389	-	thioredoxin domain-containing protein	WP_041044953.1	666	f3f3f3	-1
NZ_AP013028.1	35455	35904	-	type II toxin-antitoxin system RatA family toxin	WP_041044955.1	527	f3f3f3	-1
NZ_AP013028.1	36200	36790	+	ABC transporter substrate-binding protein	WP_084221201.1	370	f3f3f3	-1
NZ_AP013028.1	38009	39154	+	aspartate kinase	WP_041044957.1	129	f3f3f3	-1
NZ_AP013028.1	39820	40893	+	AI-2E family transporter	WP_041044958.1	559	f3f3f3	-1
NZ_AP013028.1	40998	41633	+	chorismate synthase	WP_041046507.1	765	f3f3f3	-1
NZ_AP013028.1	41834	41993	+	hypothetical protein	WP_084221163.1	-1	f3f3f3	-1
NZ_AP013028.1	41994	42980	+	tyrosine recombinase XerD	WP_041044960.1	178	f3f3f3	-1
NZ_AP013028.1	43036	43761	+	1-acyl-sn-glycerol-3-phosphate acyltransferase	WP_041044962.1	96	f3f3f3	-1
NZ_AP013028.1	43812	44081	+	30S ribosomal protein S20	WP_041044964.1	287	f3f3f3	-1
NZ_AP013028.1	44162	45412	+	citrate synthase	WP_041044966.1	482	f3f3f3	-1
NZ_AP013028.1	46463	47233	-	response regulator transcription factor	WP_041044968.1	74	f3f3f3	-1
NZ_AP013028.1	47557	48534	+	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	WP_041044970.1	579	f3f3f3	-1
NZ_AP013028.1	48554	49025	+	phosphatidylglycerophosphatase A	WP_041044972.1	398	f3f3f3	-1
NZ_AP013028.1	49026	49805	+	GNAT family N-acetyltransferase	WP_041044974.1	681	f3f3f3	-1
NZ_AP013028.1	51941	52213	-	IS5 family transposase	WP_041044978.1	446	f3f3f3	-1
NZ_AP013028.1	52287	52724	+	hypothetical protein	WP_145971825.1	-1	f3f3f3	-1
NZ_AP013028.1	52727	53515	-	succinate dehydrogenase iron-sulfur subunit	WP_041044980.1	520	f3f3f3	-1
NZ_AP013028.1	53610	54055	-	rRNA maturation RNase YbeY	WP_041044982.1	361	f3f3f3	-1
NZ_AP013028.1	54056	54454	-	EVE domain-containing protein	WP_041044984.1	693	f3f3f3	-1
NZ_AP013028.1	54454	55644	-	cell division protein FtsZ	WP_041044986.1	330	f3f3f3	-1
NZ_AP013028.1	55897	56481	-	hypothetical protein	WP_052463160.1	-1	f3f3f3	-1
NZ_AP013028.1	56572	58065	-	YifB family Mg chelatase-like AAA ATPase	WP_041044988.1	526	f3f3f3	-1
NZ_AP013028.1	58840	61401	-	ATP-dependent chaperone ClpB	WP_041044990.1	566	f3f3f3	-1
NZ_AP013028.1	62023	62898	+	Rpn family recombination-promoting nuclease/putative transposase	WP_041044992.1	17	f3f3f3	-1
NZ_AP013028.1	63048	64541	-	IMP dehydrogenase	WP_041044994.1	543	f3f3f3	-1
NZ_AP013028.1	64746	65627	+	tetratricopeptide repeat protein	WP_041044996.1	-1	f3f3f3	-1
NZ_AP013028.1	65877	66260	-	leucine-rich repeat domain-containing protein	WP_052463161.1	-1	f3f3f3	-1
NZ_AP013028.1	66266	66532	-	hypothetical protein	WP_145971826.1	-1	f3f3f3	-1
NZ_AP013028.1	66725	67942	+	ankyrin repeat domain-containing protein	WP_070104838.1	-1	f3f3f3	-1
NZ_AP013028.1	67979	68926	-	MFS transporter	WP_052463164.1	-1	f3f3f3	-1
