NZ_AP013028.1	153	1535	+	chromosomal replication initiator protein DnaA	WP_041044912.1	202	FF8AD8	DnaA
NZ_AP013028.1	2182	3435	-	phosphoesterase	WP_041044914.1	-1	f3f3f3	-1
NZ_AP013028.1	4110	5192	+	GTP cyclohydrolase II RibA	WP_041046499.1	72	f3f3f3	-1
NZ_AP013028.1	5264	5936	+	type IV secretion system protein	WP_041044916.1	670	f3f3f3	-1
NZ_AP013028.1	5937	6737	+	P-type conjugative transfer protein VirB9	WP_041044918.1	753	f3f3f3	-1
NZ_AP013028.1	6754	8241	+	TrbI/VirB10 family protein	WP_041044920.1	1024	f3f3f3	-1
NZ_AP013028.1	8243	9235	+	P-type DNA transfer ATPase VirB11	WP_041044922.1	115	f3f3f3	-1
NZ_AP013028.1	9264	11402	+	TraM recognition domain-containing protein	WP_041044924.1	757	f3f3f3	-1
NZ_AP013028.1	13005	13265	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	13875	16355	-	response regulator	WP_041044930.1	49	f3f3f3	-1
NZ_AP013028.1	16470	17294	+	oxygen-dependent coproporphyrinogen oxidase	WP_041044932.1	595	f3f3f3	-1
NZ_AP013028.1	17873	18655	+	hypothetical protein	WP_084221162.1	945	f3f3f3	-1
NZ_AP013028.1	18661	21261	-	aconitate hydratase AcnA	WP_041044934.1	501	f3f3f3	-1
NZ_AP013028.1	22049	23356	+	DnaJ domain-containing protein	WP_070104823.1	2	f3f3f3	-1
NZ_AP013028.1	23967	26015	+	ATP-dependent DNA helicase RecG	WP_041044937.1	69	f3f3f3	-1
NZ_AP013028.1	26828	27088	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	28278	28767	-	hypothetical protein	WP_041046503.1	-1	f3f3f3	-1
NZ_AP013028.1	28768	29661	-	RNA polymerase sigma factor RpoH	WP_041044940.1	347	f3f3f3	-1
NZ_AP013028.1	29933	30628	-	P44/Msp2 family outer membrane protein	WP_041044942.1	435	f3f3f3	-1
NZ_AP013028.1	30963	31295	-	YbaB/EbfC family nucleoid-associated protein	WP_041044944.1	354	f3f3f3	-1
NZ_AP013028.1	31299	32783	-	DNA polymerase III subunit gamma/tau	WP_041044946.1	103	f3f3f3	-1
NZ_AP013028.1	32987	33640	+	glutathione S-transferase family protein	WP_041044948.1	1571	f3f3f3	-1
NZ_AP013028.1	33642	34292	-	O-methyltransferase	WP_041044950.1	1001	f3f3f3	-1
NZ_AP013028.1	34525	34803	+	hypothetical protein	WP_041044952.1	986	f3f3f3	-1
NZ_AP013028.1	34832	35542	-	thioredoxin domain-containing protein	WP_041044953.1	666	f3f3f3	-1
NZ_AP013028.1	35608	36057	-	type II toxin-antitoxin system RatA family toxin	WP_041044955.1	527	f3f3f3	-1
NZ_AP013028.1	36353	36943	+	ABC transporter substrate-binding protein	WP_084221201.1	370	f3f3f3	-1
NZ_AP013028.1	38162	39307	+	aspartate kinase	WP_041044957.1	129	f3f3f3	-1
NZ_AP013028.1	39973	41046	+	AI-2E family transporter	WP_041044958.1	559	f3f3f3	-1
NZ_AP013028.1	41151	41786	+	chorismate synthase	WP_041046507.1	765	f3f3f3	-1
NZ_AP013028.1	41987	42146	+	hypothetical protein	WP_084221163.1	-1	f3f3f3	-1
NZ_AP013028.1	42147	43133	+	tyrosine recombinase XerD	WP_041044960.1	178	f3f3f3	-1
NZ_AP013028.1	43189	43914	+	1-acyl-sn-glycerol-3-phosphate acyltransferase	WP_041044962.1	96	f3f3f3	-1
NZ_AP013028.1	43965	44234	+	30S ribosomal protein S20	WP_041044964.1	287	f3f3f3	-1
NZ_AP013028.1	44315	45565	+	citrate synthase	WP_041044966.1	482	f3f3f3	-1
NZ_AP013028.1	46616	47386	-	response regulator transcription factor	WP_041044968.1	74	f3f3f3	-1
NZ_AP013028.1	47710	48687	+	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	WP_041044970.1	579	f3f3f3	-1
NZ_AP013028.1	48707	49178	+	phosphatidylglycerophosphatase A	WP_041044972.1	398	f3f3f3	-1
NZ_AP013028.1	49179	49958	+	GNAT family N-acetyltransferase	WP_041044974.1	681	f3f3f3	-1
NZ_AP013028.1	52094	52366	-	IS5 family transposase	WP_041044978.1	446	f3f3f3	-1
NZ_AP013028.1	52440	52877	+	hypothetical protein	WP_145971825.1	-1	f3f3f3	-1
NZ_AP013028.1	52880	53668	-	succinate dehydrogenase iron-sulfur subunit	WP_041044980.1	520	f3f3f3	-1
NZ_AP013028.1	53763	54208	-	rRNA maturation RNase YbeY	WP_041044982.1	361	f3f3f3	-1
NZ_AP013028.1	54209	54607	-	EVE domain-containing protein	WP_041044984.1	693	f3f3f3	-1
NZ_AP013028.1	54607	55797	-	cell division protein FtsZ	WP_041044986.1	330	f3f3f3	-1
NZ_AP013028.1	56050	56634	-	hypothetical protein	WP_052463160.1	-1	f3f3f3	-1
