NC_007797.1	1	1379	+	chromosomal replication initiator protein DnaA	WP_011450597.1	202	FF8AD8	DnaA
NC_007797.1	1766	1990	+	hypothetical protein	WP_020848875.1	-1	f3f3f3	-1
NC_007797.1	2131	2355	+	hypothetical protein	WP_020848875.1	-1	f3f3f3	-1
NC_007797.1	2864	3028	-	hypothetical protein	WP_020848876.1	-1	f3f3f3	-1
NC_007797.1	4126	5175	-	peptide chain release factor 2	WP_020848882.1	101	f3f3f3	-1
NC_007797.1	5458	6195	-	YebC/PmpR family DNA-binding transcriptional regulator	WP_011450601.1	331	f3f3f3	-1
NC_007797.1	7205	8038	+	YihY/virulence factor BrkB family protein	WP_011450602.1	727	f3f3f3	-1
NC_007797.1	8101	9372	+	adenosylmethionine--8-amino-7-oxononanoate transaminase	WP_011450603.1	401	FF2600	BioA
NC_007797.1	10320	10517	+	hypothetical protein	WP_020848883.1	-1	f3f3f3	-1
NC_007797.1	10712	12181	-	hypothetical protein	WP_020848884.1	-1	f3f3f3	-1
NC_007797.1	12502	13029	+	hypothetical protein	WP_020848885.1	-1	f3f3f3	-1
NC_007797.1	13989	14570	+	hypothetical protein	WP_011450608.1	-1	f3f3f3	-1
NC_007797.1	15689	16183	+	hypothetical protein	WP_020848886.1	-1	f3f3f3	-1
NC_007797.1	18189	18841	-	fructose-6-phosphate aldolase	WP_011450613.1	290	f3f3f3	-1
NC_007797.1	18842	19228	-	ATP synthase F1, epsilon subunit	WP_011450614.1	223	f3f3f3	-1
NC_007797.1	19320	20789	-	F0F1 ATP synthase subunit beta	WP_020848888.1	345	f3f3f3	-1
NC_007797.1	21293	22639	+	magnesium transporter	WP_011450616.1	571	f3f3f3	-1
NC_007797.1	25336	25950	+	RlmE family RNA methyltransferase	WP_080502896.1	111	f3f3f3	-1
NC_007797.1	26810	27546	-	tRNA pseudouridine(38-40) synthase TruA	WP_011450619.1	195	f3f3f3	-1
NC_007797.1	27547	28449	-	aspartate carbamoyltransferase	WP_011450620.1	553	f3f3f3	-1
NC_007797.1	28598	29341	-	RlmE family RNA methyltransferase	WP_011450621.1	111	f3f3f3	-1
NC_007797.1	29986	30807	-	exodeoxyribonuclease III	WP_011450622.1	118	f3f3f3	-1
NC_007797.1	31147	31824	-	hypothetical protein	WP_020849289.1	-1	f3f3f3	-1
NC_007797.1	32174	32302	+	50S ribosomal protein L36	WP_021799033.1	481	f3f3f3	-1
NC_007797.1	35147	35830	-	Smr domain-containing protein	WP_011450630.1	179	f3f3f3	-1
NC_007797.1	35980	36387	-	DNA-directed RNA polymerase subunit omega	WP_011450631.1	308	f3f3f3	-1
NC_007797.1	36763	37098	-	transcriptional regulator	WP_011450632.1	982	f3f3f3	-1
NC_007797.1	37892	38071	+	hypothetical protein	WP_011450633.1	-1	f3f3f3	-1
NC_007797.1	38610	38972	+	NAD(P)H-quinone oxidoreductase subunit 3	WP_011450636.1	480	f3f3f3	-1
NC_007797.1	38975	39499	+	NADH-quinone oxidoreductase subunit B	WP_011450637.1	562	f3f3f3	-1
NC_007797.1	39501	40067	+	NADH-quinone oxidoreductase subunit C	WP_011450638.1	731	f3f3f3	-1
NC_007797.1	42705	43457	+	5'/3'-nucleotidase SurE	WP_020848895.1	523	f3f3f3	-1
NC_007797.1	43588	44013	+	cytochrome c maturation protein CcmE	WP_011450642.1	404	f3f3f3	-1
NC_007797.1	44450	44668	+	hypothetical protein	WP_021799521.1	-1	f3f3f3	-1
NC_007797.1	44822	45473	-	orotidine-5'-phosphate decarboxylase	WP_011450643.1	451	f3f3f3	-1
NC_007797.1	45474	46292	-	TatD family hydrolase	WP_080502897.1	374	f3f3f3	-1
NC_007797.1	48102	50582	-	leucine--tRNA ligase	WP_021799034.1	339	f3f3f3	-1
NC_007797.1	51082	51318	-	hypothetical protein	WP_020848898.1	459	f3f3f3	-1
NC_007797.1	52146	52415	-	hypothetical protein	WP_020848899.1	-1	f3f3f3	-1
NC_007797.1	52602	52796	+	hypothetical protein	WP_080502898.1	-1	f3f3f3	-1
NC_007797.1	53420	56284	-	excinuclease ABC subunit UvrA	WP_011450651.1	285	f3f3f3	-1
NC_007797.1	56313	57158	-	transcription antitermination factor NusB	WP_021799035.1	276	f3f3f3	-1
NC_007797.1	57163	57621	-	6,7-dimethyl-8-ribityllumazine synthase	WP_011450653.1	489	f3f3f3	-1
NC_007797.1	57634	59340	-	membrane protein insertase YidC	WP_011450654.1	349	f3f3f3	-1
NC_007797.1	60627	60974	+	molybdopterin-dependent oxidoreductase	WP_080502899.1	-1	f3f3f3	-1
NC_007797.1	61323	62168	-	CDP-diacylglycerol--serine O-phosphatidyltransferase	WP_020848901.1	525	f3f3f3	-1
NC_007797.1	62231	62914	-	phosphatidylserine decarboxylase	WP_011450657.1	470	f3f3f3	-1
NC_007797.1	63555	66926	-	heme/FAD-binding domain-containing protein	WP_011450658.1	752	f3f3f3	-1
NC_007797.1	67458	70742	-	hypothetical protein	WP_020848902.1	-1	f3f3f3	-1
NC_007797.1	71419	71985	+	elongation factor P	WP_011450660.1	113	f3f3f3	-1
NC_007797.1	71988	72758	+	inositol monophosphatase family protein	WP_011450661.1	8	f3f3f3	-1
NC_007797.1	72794	73687	+	RluA family pseudouridine synthase	WP_011450662.1	457	f3f3f3	-1
NC_007797.1	74327	75697	-	PleD family two-component system response regulator	WP_011450664.1	75	f3f3f3	-1
NC_007797.1	76289	81103	-	NAD-glutamate dehydrogenase	WP_044108185.1	675	f3f3f3	-1
NC_007797.1	81766	81966	+	hypothetical protein	WP_020848904.1	-1	f3f3f3	-1
NC_007797.1	82528	83162	+	exopolysaccharide biosynthesis protein	WP_044104227.1	996	f3f3f3	-1
NC_007797.1	83163	84551	+	cysteine--tRNA ligase	WP_011450668.1	499	f3f3f3	-1
NC_007797.1	85040	85234	-	hypothetical protein	WP_011450670.1	-1	f3f3f3	-1
NC_007797.1	86629	87550	+	ribonucleotide-diphosphate reductase subunit beta	WP_011450673.1	107	f3f3f3	-1
NC_007797.1	87551	88183	+	TlpA family protein disulfide reductase	WP_011450674.1	323	f3f3f3	-1
NC_007797.1	91084	91365	-	DUF2610 domain-containing protein	WP_011450677.1	730	f3f3f3	-1
NC_007797.1	91737	92750	+	SAM-dependent methyltransferase	WP_020848908.1	685	f3f3f3	-1
NC_007797.1	94409	94597	-	hypothetical protein	WP_011450680.1	-1	f3f3f3	-1
NC_007797.1	96107	97930	+	DNA primase	WP_011450683.1	164	f3f3f3	-1
NC_007797.1	98725	99210	-	hypothetical protein	WP_080502900.1	-1	f3f3f3	-1
NC_007797.1	99719	100609	-	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	WP_011450686.1	535	f3f3f3	-1
NC_007797.1	100802	101749	+	tRNA dihydrouridine synthase DusB	WP_011450687.1	228	f3f3f3	-1
NC_007797.1	101966	103849	+	RNA polymerase sigma factor RpoD	WP_011450688.1	358	f3f3f3	-1
NC_007797.1	105116	105337	+	hypothetical protein	WP_020848910.1	-1	f3f3f3	-1
NC_007797.1	105340	106167	+	insulinase family protein	WP_020848911.1	721	f3f3f3	-1
NC_007797.1	106416	106751	-	divalent-cation tolerance protein CutA	WP_011450692.1	197	f3f3f3	-1
NC_007797.1	106799	109291	-	response regulator	WP_020848913.1	49	f3f3f3	-1
NC_007797.1	110578	111234	-	O-methyltransferase	WP_011450695.1	1001	f3f3f3	-1
NC_007797.1	111510	111803	+	hypothetical protein	WP_011450696.1	986	f3f3f3	-1
NC_007797.1	112075	112287	-	hypothetical protein	WP_020848915.1	-1	f3f3f3	-1
NC_007797.1	113884	115263	+	NAD(P)H-hydrate dehydratase	WP_011450699.1	777	f3f3f3	-1
NC_007797.1	116386	116607	+	hypothetical protein	WP_011450702.1	455	f3f3f3	-1
NC_007797.1	118793	121228	+	type I DNA topoisomerase	WP_011450708.1	312	f3f3f3	-1
NC_007797.1	124343	126016	-	phosphomethylpyrimidine synthase ThiC	WP_011450711.1	718	f3f3f3	-1
NC_007797.1	126945	127157	+	hypothetical protein	WP_020848915.1	-1	f3f3f3	-1
NC_007797.1	128369	128800	-	hypothetical protein	WP_020848919.1	538	f3f3f3	-1
NC_007797.1	129392	129571	-	hypothetical protein	WP_020848920.1	-1	f3f3f3	-1
NC_007797.1	130750	131460	-	bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG	WP_011450717.1	50	f3f3f3	-1
NC_007797.1	131516	133060	-	lysine--tRNA ligase	WP_011450718.1	702	f3f3f3	-1
NC_007797.1	133437	135329	-	peptidylprolyl isomerase	WP_044108160.1	76	f3f3f3	-1
NC_007797.1	136458	136700	+	hypothetical protein	WP_020849585.1	-1	f3f3f3	-1
NC_007797.1	137321	137899	-	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	WP_020848924.1	364	f3f3f3	-1
NC_007797.1	137926	139110	-	cation:dicarboxylase symporter family transporter	WP_011450722.1	116	f3f3f3	-1
NC_007797.1	139278	140477	-	cation:dicarboxylase symporter family transporter	WP_011450723.1	116	f3f3f3	-1
NC_007797.1	141051	141846	+	rod shape-determining protein MreC	WP_020848925.1	477	f3f3f3	-1
NC_007797.1	141847	142452	-	hypothetical protein	WP_011450725.1	1014	f3f3f3	-1
NC_007797.1	144675	145001	+	DUF721 domain-containing protein	WP_011450726.1	959	f3f3f3	-1
NC_007797.1	146845	147048	-	hypothetical protein	WP_020848927.1	-1	f3f3f3	-1
NC_007797.1	147695	148504	-	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	WP_011450731.1	283	f3f3f3	-1
NC_007797.1	148723	149445	+	triosephosphate isomerase	WP_044108187.1	533	f3f3f3	-1
NC_007797.1	149453	150472	+	TAXI family TRAP transporter solute-binding subunit	WP_020848929.1	989	f3f3f3	-1
NC_007797.1	150474	151494	+	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	WP_011450734.1	218	f3f3f3	-1
NC_007797.1	151495	152100	-	RDD family protein	WP_011450735.1	763	f3f3f3	-1
NC_007797.1	152171	152521	+	dihydroneopterin aldolase	WP_011450736.1	-1	f3f3f3	-1
NC_007797.1	152590	153555	+	malate dehydrogenase	WP_011450737.1	551	f3f3f3	-1
NC_007797.1	155192	155494	-	hypothetical protein	WP_020848931.1	0	f3f3f3	-1
NC_007797.1	155984	156226	-	hypothetical protein	WP_044108161.1	-1	f3f3f3	-1
NC_007797.1	156385	156705	+	hypothetical protein	WP_011450740.1	-1	f3f3f3	-1
NC_007797.1	156722	157275	+	phage head-tail connector protein	WP_011450741.1	-1	f3f3f3	-1
NC_007797.1	157276	157654	+	hypothetical protein	WP_011450742.1	-1	f3f3f3	-1
NC_007797.1	157655	158044	+	hypothetical protein	WP_011450743.1	995	f3f3f3	-1
NC_007797.1	158956	159144	+	hypothetical protein	WP_011450745.1	980	f3f3f3	-1
NC_007797.1	162046	162612	-	hypothetical protein	WP_011450747.1	1014	f3f3f3	-1
NC_007797.1	164566	164773	-	hypothetical protein	WP_020848936.1	-1	f3f3f3	-1
NC_007797.1	164774	165205	-	ribose 5-phosphate isomerase B	WP_011450748.1	50	f3f3f3	-1
NC_007797.1	165511	165777	+	hypothetical protein	WP_011450749.1	-1	f3f3f3	-1
NC_007797.1	167688	168052	-	holo-ACP synthase	WP_011450751.1	271	f3f3f3	-1
NC_007797.1	168053	169333	-	proline--tRNA ligase	WP_011450752.1	402	f3f3f3	-1
NC_007797.1	170108	171118	-	hypothetical protein	WP_011450753.1	963	f3f3f3	-1
NC_007797.1	171371	171877	+	pantetheine-phosphate adenylyltransferase	WP_011450754.1	530	f3f3f3	-1
NC_007797.1	172898	173407	+	hypothetical protein	WP_011450756.1	66	f3f3f3	-1
NC_007797.1	173481	173667	+	hypothetical protein	WP_011450758.1	66	f3f3f3	-1
NC_007797.1	173668	173994	+	hypothetical protein	WP_020848940.1	66	f3f3f3	-1
NC_007797.1	174140	174358	+	hypothetical protein	WP_011450760.1	-1	f3f3f3	-1
NC_007797.1	174758	175723	-	thioredoxin-disulfide reductase	WP_011450761.1	324	f3f3f3	-1
NC_007797.1	175729	176328	-	peroxiredoxin	WP_044104249.1	504	f3f3f3	-1
NC_007797.1	176636	177820	+	pyridoxal phosphate-dependent aminotransferase	WP_011450763.1	114	f3f3f3	-1
NC_007797.1	178841	180169	+	P44/Msp2 family outer membrane protein	WP_011450765.1	0	f3f3f3	-1
NC_007797.1	180229	181518	+	P44/Msp2 family outer membrane protein	WP_011450766.1	0	f3f3f3	-1
NC_007797.1	181582	182889	+	P44/Msp2 family outer membrane protein	WP_011450767.1	0	f3f3f3	-1
NC_007797.1	185588	186325	-	3-oxoacyl-[acyl-carrier-protein] reductase	WP_011450771.1	246	f3f3f3	-1
NC_007797.1	186561	189695	+	bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA	WP_044108189.1	711	f3f3f3	-1
NC_007797.1	191264	191968	-	alpha/beta hydrolase	WP_021799050.1	783	f3f3f3	-1
NC_007797.1	192175	193731	+	aminotransferase class V-fold PLP-dependent enzyme	WP_044104108.1	594	f3f3f3	-1
NC_007797.1	193760	194998	+	IscS subfamily cysteine desulfurase	WP_011450777.1	378	f3f3f3	-1
NC_007797.1	195014	195406	+	Fe-S cluster assembly scaffold IscU	WP_011450778.1	212	f3f3f3	-1
NC_007797.1	195408	195789	+	iron-sulfur cluster assembly accessory protein	WP_020848947.1	224	f3f3f3	-1
NC_007797.1	195790	196220	+	Fe-S protein assembly co-chaperone HscB	WP_011450780.1	564	f3f3f3	-1
NC_007797.1	196221	197999	+	Hsp70 family protein	WP_011450781.1	734	f3f3f3	-1
NC_007797.1	198054	198404	+	2Fe-2S iron-sulfur cluster binding domain-containing protein	WP_011450782.1	598	f3f3f3	-1
NC_007797.1	198434	199603	+	hypothetical protein	WP_011450783.1	-1	f3f3f3	-1
NC_007797.1	200878	201108	+	hypothetical protein	WP_020848948.1	-1	f3f3f3	-1
NC_007797.1	201124	203763	-	hypothetical protein	WP_011450786.1	966	f3f3f3	-1
NC_007797.1	203922	204188	-	hypothetical protein	WP_020848949.1	-1	f3f3f3	-1
NC_007797.1	205065	205514	+	hypothetical protein	WP_080502901.1	596	f3f3f3	-1
NC_007797.1	207240	208076	+	DUF2163 domain-containing protein	WP_011450791.1	976	f3f3f3	-1
NC_007797.1	208229	208492	+	hypothetical protein	WP_020848951.1	-1	f3f3f3	-1
NC_007797.1	210058	210945	+	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	WP_011450793.1	352	f3f3f3	-1
NC_007797.1	212785	213021	+	hypothetical protein	WP_011450794.1	-1	f3f3f3	-1
NC_007797.1	213793	214317	-	5-formyltetrahydrofolate cyclo-ligase	WP_011450796.1	552	f3f3f3	-1
NC_007797.1	214838	215896	-	GTPase ObgE	WP_011450797.1	262	f3f3f3	-1
NC_007797.1	215901	217190	-	phosphopyruvate hydratase	WP_011450798.1	586	f3f3f3	-1
NC_007797.1	217441	218022	-	hypothetical protein	WP_080502902.1	966	f3f3f3	-1
NC_007797.1	218256	218555	+	50S ribosomal protein L21	WP_011450800.1	177	f3f3f3	-1
NC_007797.1	218559	218834	+	50S ribosomal protein L27	WP_011450801.1	305	f3f3f3	-1
NC_007797.1	220279	222021	+	arginine--tRNA ligase	WP_011450802.1	239	f3f3f3	-1
NC_007797.1	226106	226963	-	ATP synthase subunit gamma	WP_011450809.1	95	f3f3f3	-1
NC_007797.1	227708	229477	-	hypothetical protein	WP_011450810.1	-1	f3f3f3	-1
NC_007797.1	230750	240886	+	hypothetical protein	WP_020848954.1	-1	f3f3f3	-1
NC_007797.1	241445	242467	-	NADH-quinone oxidoreductase subunit NuoH	WP_011450813.1	561	f3f3f3	-1
NC_007797.1	242514	244592	-	NADH-quinone oxidoreductase subunit G	WP_011450814.1	519	f3f3f3	-1
NC_007797.1	244602	244817	-	hypothetical protein	WP_044104254.1	773	f3f3f3	-1
NC_007797.1	245365	247746	-	DNA topoisomerase (ATP-hydrolyzing) subunit B	WP_011450818.1	403	f3f3f3	-1
NC_007797.1	248370	248576	-	hypothetical protein	WP_011450819.1	-1	f3f3f3	-1
NC_007797.1	248595	250736	-	hypothetical protein	WP_020848957.1	-1	f3f3f3	-1
NC_007797.1	251350	260529	-	hypothetical protein	WP_020848958.1	459	f3f3f3	-1
NC_007797.1	262389	263168	-	hypothetical protein	WP_011450825.1	-1	f3f3f3	-1
