NC_000913.3	1	1403	-	chromosomal replication initiator protein DnaA	NP_418157.1	202	FF8AD8	DnaA
NC_000913.3	1700	1780	+	protein YsdD	YP_009518826.1|gnl|REF_b4757|CDS4428	-1	f3f3f3	-1
NC_000913.3	2010	2150	+	50S ribosomal subunit protein L34	NP_418158.1	165	f3f3f3	-1
NC_000913.3	2167	2489	+	RNase P protein component	NP_418159.1	1478	f3f3f3	-1
NC_000913.3	2490	2747	+	membrane protein insertion efficiency factor	YP_588472.1	790	f3f3f3	-1
NC_000913.3	2750	4396	+	membrane protein insertase YidC	NP_418161.1	349	f3f3f3	-1
NC_000913.3	4502	5866	+	5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit	NP_418162.1	229	f3f3f3	-1
NC_000913.3	6109	6183	+	tnaAB operon leader peptide	NP_418163.1	-1	f3f3f3	-1
NC_000913.3	6404	7819	+	tryptophanase	NP_418164.4	-1	f3f3f3	-1
NC_000913.3	7910	9157	+	tryptophan:H(+) symporter TnaB	NP_418165.1	880	f3f3f3	-1
NC_000913.3	9289	10438	+	efflux pump MdtL	NP_418166.1	13	f3f3f3	-1
NC_000913.3	10439	11398	+	putative LysR-type transcriptional regulator YidZ	NP_418167.1	1	f3f3f3	-1
NC_000913.3	11555	12304	+	putative phosphopantetheinyl transferase	NP_418168.2	1079	f3f3f3	-1
NC_000913.3	12326	12892	+	chromate reductase	NP_418169.1	-1	f3f3f3	-1
NC_000913.3	12946	14283	-	adenine:H(+) symporter	NP_418170.1	605	f3f3f3	-1
NC_000913.3	14448	15113	+	6-phosphogluconate phosphatase	NP_418171.1	420	f3f3f3	-1
NC_000913.3	15180	15647	+	putative inner membrane protein	NP_418172.1	-1	f3f3f3	-1
NC_000913.3	15696	16283	+	UPF0167 family colicin E2 tolerance protein CbrC	NP_418173.1	-1	f3f3f3	-1
NC_000913.3	16345	17067	-	putative glucosamine-6-phosphate deaminase YieK	YP_026242.1	812	f3f3f3	-1
NC_000913.3	17082	18251	-	putative hydrolase YieL	NP_418175.3	-1	f3f3f3	-1
